area_m2,lat,lon,price_usd
69.0,19.422243,-99.127305,61058.82352941176
85.0,19.469418,-99.164299,84155.05882352941
116.0,19.387782,-99.186194,105701.76470588235
60.0,19.411472,-99.188522,347058.82352941175
53.0,19.262049,-99.1138,67647.05882352941
70.0,19.402944,-99.199727,67023.5294117647
75.0,19.379525,-99.188914,60705.882352941175
70.0,19.346767,-99.123658,69705.88235294117
55.0,19.384808,-99.137496,76531.23529411765
75.0,19.45337,-99.181695,155882.35294117648
63.0,19.397397,-99.155802,188517.64705882352
62.0,19.4306069,-99.0949899,131418.9411764706
97.0,19.341894,-99.224525,186923.5294117647
80.0,23.634501,-102.552788,85882.35294117648
50.0,19.283388,-99.055038,42764.705882352944
100.0,19.431629,-99.162762,188235.29411764705
115.0,19.428324,-99.176337,195642.88235294117
60.0,19.4445115,-99.1895493,217647.0588235294
94.0,19.429392,-99.181017,350000.0
70.0,19.456145,-99.201167,61058.82352941176
110.0,19.400785,-99.147419,105882.35294117648
137.0,19.275206,-99.218292,364705.8823529412
125.0,19.394358,-99.177444,261029.41176470587
97.0,19.341894,-99.224525,186923.5294117647
90.0,19.334546,-99.207876,84647.05882352941
85.0,19.370272,-99.149127,41534.705882352944
126.0,19.437841,-99.220367,188235.29411764705
150.0,19.48527,-99.200287,123529.41176470589
70.0,19.307417,-99.125191,30366.764705882353
75.0,19.384808,-99.155339,100549.0
75.0,19.409095,-99.163216,251764.70588235295
51.0,19.473415,-99.143539,76882.35294117648
89.0,19.44673,-99.161695,61352.94117647059
136.0,19.394358,-99.177444,252941.17647058822
100.0,19.3898619,-99.1674138,147058.82352941178
60.0,19.302076,-99.049427,37882.35294117647
69.0,19.472155,-99.161186,104117.64705882352
55.0,19.372684,-99.183678,158823.5294117647
52.0,19.456439,-99.144414,58169.41176470588
90.0,19.368475,-99.17952,182352.9411764706
66.0,19.368823,-99.224603,61215.705882352944
98.0,19.3549174,-99.0993735,61764.705882352944
65.0,19.358585,-99.185753,251711.76470588235
119.0,19.3703820187,-99.1493282287,158823.5294117647
90.0,19.395097,-99.150424,59350.117647058825
64.0,19.320269,-99.055412,30000.0
106.0,19.367745,-99.180127,235294.11764705883
65.0,19.468092,-99.088883,67647.05882352941
60.0,,,28247.058823529413
52.0,19.405298,-99.164986,174667.64705882352
71.0,19.2818221685,-99.1876426712,41176.470588235294
127.0,19.391074,-99.165737,178235.29411764705
70.0,19.418844,-99.132357,22980.352941176472
70.0,,,33140.35294117647
85.0,19.3943574,-99.1774462,257647.0588235294
70.0,19.397649,-99.093087,37176.470588235294
53.0,19.408805,-99.129702,62352.94117647059
57.0,23.634501,-102.552788,104974.64705882352
80.0,19.3499358,-99.2906864,182352.9411764706
75.0,19.313878,-99.094271,51764.705882352944
110.0,19.427922,-99.160613,294117.64705882355
60.0,19.392025,-99.135302,57025.705882352944
90.0,19.384808,-99.155339,100549.0
75.0,19.361114,-99.222666,52156.82352941176
60.0,19.493973,-99.130394,118058.82352941176
100.0,19.394073,-99.153915,182352.9411764706
110.0,19.371342,-99.253616,371606.4705882353
130.0,,,271170.5882352941
65.0,19.386852,-99.194748,116470.58823529411
103.0,19.38499,-99.227853,56862.705882352944
100.0,19.3392293,-99.2189838,208823.5294117647
70.0,19.490331,-99.207579,35647.0
60.0,19.3821,-99.204573,36078.41176470588
66.0,19.461416,-99.133163,44117.64705882353
69.0,19.363469,-99.010141,31705.882352941175
60.0,19.364005,-99.153602,116856.35294117648
99.0,19.3747920646,-99.137270786,182352.9411764706
75.0,19.440749,-99.141649,88823.5294117647
55.0,19.45178,-99.15709,24334.235294117647
85.0,19.443333,-99.202983,306470.5882352941
107.0,19.39557,-99.132937,131823.5294117647
64.0,19.478815,-99.196831,85294.11764705883
85.0,19.409843,-99.125509,27308.882352941175
110.0,19.282895,-99.166933,34419.17647058824
85.0,19.401331,-99.154029,214705.88235294117
126.0,19.425758,-99.174333,108823.5294117647
115.0,19.428324,-99.176337,195642.88235294117
83.0,19.365031,-99.147736,155882.35294117648
90.0,19.273713,-99.120741,78730.82352941176
108.0,19.309713,-99.1262,119823.5294117647
80.0,19.348122,-99.125716,96980.0
93.0,19.387579,-99.170353,122941.17647058824
75.0,19.404442,-99.162688,84941.17647058824
106.0,19.362511,-99.166374,180676.4705882353
74.0,19.384506,-99.135865,91176.4705882353
122.0,19.390912,-99.172242,285294.1176470588
69.0,19.505199,-99.155991,35294.117647058825
73.0,19.3883217,-99.1862188,64705.882352941175
80.0,19.414597,-99.156686,246176.4705882353
127.0,19.399028,-99.175227,116470.58823529411
95.0,19.362864,-99.173988,90705.88235294117
65.0,19.472155,-99.161186,105000.0
133.0,19.3152718515,-99.1075855494,110588.23529411765
56.0,19.391754,-99.056058,42352.94117647059
60.0,19.493973,-99.130394,118058.82352941176
75.0,,,41176.470588235294
70.0,19.383446,-99.137643,79411.76470588235
100.0,19.428324,-99.176337,195642.88235294117
75.0,19.324386,-99.124228,59284.705882352944
60.0,19.452689,-99.117987,30294.117647058825
72.0,19.3915,-99.038137,56176.470588235294
128.0,19.4070717,-99.1621603,370588.23529411765
122.0,19.449148,-99.175534,194088.23529411765
